,DEPARTAMENTO,MUNICIPIO,CODIGO DANE,Año,Terrorismo,Delitos Sexuales,Homicidios,Amenazas,Extorsion,Secuestro,Poblacion,Total,Indice100k
0,ANTIOQUIA,MEDELLÍN (CT),5001,2012,9.0,57.0,1245.0,20.0,209.0,10.0,2240690,1550,69.17512016387809
1,ANTIOQUIA,MEDELLÍN (CT),5001,2013,7.0,127.0,914.0,12.0,457.0,7.0,2266969,1524,67.2263273119306
2,ANTIOQUIA,MEDELLÍN (CT),5001,2014,,313.0,649.0,2081.0,310.0,7.0,2293601,3360,146.49452978089911
3,ANTIOQUIA,MEDELLÍN (CT),5001,2015,1.0,1310.0,489.0,1082.0,243.0,13.0,2320791,3138,135.21252021401324
4,ANTIOQUIA,MEDELLÍN (CT),5001,2016,1.0,1341.0,534.0,792.0,336.0,24.0,2351077,3028,128.7920387124709
5,ANTIOQUIA,MEDELLÍN (CT),5001,2017,2.0,1679.0,577.0,686.0,488.0,6.0,2385018,3438,144.1498554727889
6,ANTIOQUIA,MEDELLÍN (CT),5001,2018,1.0,2216.0,626.0,1496.0,578.0,5.0,2427129,4922,202.79103418071313
7,ANTIOQUIA,MEDELLÍN (CT),5001,2019,1.0,2496.0,583.0,596.0,630.0,2.0,2483545,4308,173.46172507443995
8,ANTIOQUIA,MEDELLÍN (CT),5001,2020,2.0,2109.0,362.0,796.0,506.0,9.0,2533424,3784,149.3630754267742
9,ANTIOQUIA,MEDELLÍN (CT),5001,2021,,2622.0,402.0,1001.0,608.0,8.0,2573220,4641,180.3576841467111
10,ANTIOQUIA,ABEJORRAL,5002,2012,,1.0,8.0,,2.0,,21371,11,51.47162042019559
11,ANTIOQUIA,ABEJORRAL,5002,2013,,,6.0,,1.0,,21166,7,33.071907776622886
12,ANTIOQUIA,ABEJORRAL,5002,2014,1.0,1.0,4.0,2.0,,,20942,8,38.200744914525835
13,ANTIOQUIA,ABEJORRAL,5002,2015,,6.0,5.0,2.0,2.0,,20718,15,72.40081088908195
14,ANTIOQUIA,ABEJORRAL,5002,2016,,15.0,7.0,3.0,1.0,,20534,26,126.61926560825947
